Component,Type,Version in Repo,Latest Upstream Version,Source Path,Notes,OpenStack Software Version,OpenStack Version (Numeric),OpenStack Release Name,Compatibility,Recommended Upstream
memcached (image),container-image,1.6.39-debian-12-r1,N/A (requires registry access),base-helm-configs/memcached/memcached-helm-overrides.yaml,Image tag from Helm values,Unknown,Unknown,Unknown,Unknown,Unknown
memcached (image),container-image,12-debian-12-r34,N/A (requires registry access),base-helm-configs/memcached/memcached-helm-overrides.yaml,Image tag from Helm values,Unknown,Unknown,Unknown,Unknown,Unknown
memcached (image),container-image,0.15.0-debian-12-r3,N/A (requires registry access),base-helm-configs/memcached/memcached-helm-overrides.yaml,Image tag from Helm values,Unknown,Unknown,Unknown,Unknown,Unknown
grafana (image),container-image,10.3.3,N/A (requires registry access),base-helm-configs/grafana/grafana-helm-overrides.yaml,Image tag from Helm values,Unknown,Unknown,Unknown,Unknown,Unknown
redis-sentinel (image),container-image,v8.2.2,N/A (requires registry access),base-helm-configs/redis-sentinel/redis-sentinel-helm-overrides.yaml,Image tag from Helm values,Unknown,Unknown,Unknown,Unknown,Unknown
redis-sentinel (image),container-image,v1.44.0,N/A (requires registry access),base-helm-configs/redis-sentinel/redis-sentinel-helm-overrides.yaml,Image tag from Helm values,Unknown,Unknown,Unknown,Unknown,Unknown
openstack-api-exporter-chart,helm-chart,0.1.0,,base-helm-configs/openstack-api-exporter-chart/Chart.yaml,appVersion: 1.0,Unknown,Unknown,Unknown,Unknown,Unknown
kube-prometheus-stack (image),container-image,v0.26.0,N/A (requires registry access),base-helm-configs/kube-prometheus-stack/kube-prometheus-stack-helm-overrides.yaml,Image tag from Helm values,Unknown,Unknown,Unknown,Unknown,Unknown
kube-prometheus-stack (image),container-image,v0.34.0,N/A (requires registry access),base-helm-configs/kube-prometheus-stack/kube-prometheus-stack-helm-overrides.yaml,Image tag from Helm values,Unknown,Unknown,Unknown,Unknown,Unknown
kube-prometheus-stack (image),container-image,v2.49.1,N/A (requires registry access),base-helm-configs/kube-prometheus-stack/kube-prometheus-stack-helm-overrides.yaml,Image tag from Helm values,Unknown,Unknown,Unknown,Unknown,Unknown
kube-prometheus-stack (image),container-image,v0.34.0,N/A (requires registry access),base-helm-configs/kube-prometheus-stack/kube-prometheus-stack-helm-overrides.yaml,Image tag from Helm values,Unknown,Unknown,Unknown,Unknown,Unknown
kube-ovn (image),container-image,v1.14.10,N/A (requires registry access),base-helm-configs/kube-ovn/kube-ovn-helm-overrides.yaml,Image tag from Helm values,Unknown,Unknown,Unknown,Unknown,Unknown
postgres-operator (image),container-image,v1.12.2,N/A (requires registry access),base-helm-configs/postgres-operator/postgres-operator-helm-overrides.yaml,Image tag from Helm values,Unknown,Unknown,Unknown,Unknown,Unknown
cinder,container-base-image,$VERSION,N/A (requires registry access),Containerfiles/Cinder-volume-netapp-Containerfile,Base image: openstackhelm/cinder,Unknown,Unknown,Unknown,Unknown,Unknown
ubuntu,container-base-image,22.04,N/A (requires registry access),Containerfiles/GnocchiRXT-Containerfile,Base image: ubuntu,Unknown,Unknown,Unknown,Unknown,Unknown
ubuntu,container-base-image,22.04,N/A (requires registry access),Containerfiles/CeilometerRXT-Containerfile,Base image: ubuntu,Unknown,Unknown,Unknown,Unknown,Unknown
barbican,openstack-service,2024.2.208+13651f45-628a320c,,helm-chart-versions.yaml,OpenStack Helm chart version,dalmatian v2.208,2024.2,Dalmatian,OK,dalmatian v2.208
blazar,openstack-service,2025.1.3+95bf0bf6e,,helm-chart-versions.yaml,OpenStack Helm chart version,epoxy v1.3,2025.1,Epoxy,❌ Mismatch,dalmatian v2.208
ceilometer,openstack-service,2024.2.115+13651f45-628a320c,,helm-chart-versions.yaml,OpenStack Helm chart version,dalmatian v2.115,2024.2,Dalmatian,OK,dalmatian v2.115
cinder,openstack-service,2024.2.409+13651f45-628a320c,,helm-chart-versions.yaml,OpenStack Helm chart version,dalmatian v2.409,2024.2,Dalmatian,OK,dalmatian v2.409
cloudkitty,openstack-service,2025.1.2+ebb1488dc,,helm-chart-versions.yaml,OpenStack Helm chart version,epoxy v1.2,2025.1,Epoxy,❌ Mismatch,dalmatian v2.208
freezer,openstack-service,2025.1.2+cdd5c6c55,,helm-chart-versions.yaml,OpenStack Helm chart version,epoxy v1.2,2025.1,Epoxy,❌ Mismatch,dalmatian v2.208
glance,openstack-service,2024.2.396+13651f45-628a320c,,helm-chart-versions.yaml,OpenStack Helm chart version,dalmatian v2.396,2024.2,Dalmatian,OK,dalmatian v2.396
gnocchi,openstack-service,2024.2.52+22.15d38,,helm-chart-versions.yaml,OpenStack Helm chart version,dalmatian v2.52,2024.2,Dalmatian,OK,dalmatian v2.52
heat,openstack-service,2024.2.294+13651f45-628a320c,,helm-chart-versions.yaml,OpenStack Helm chart version,dalmatian v2.294,2024.2,Dalmatian,OK,dalmatian v2.294
horizon,openstack-service,2024.2.264+13651f45-628a320c,,helm-chart-versions.yaml,OpenStack Helm chart version,dalmatian v2.264,2024.2,Dalmatian,OK,dalmatian v2.264
ironic,openstack-service,2024.2.121+13651f45-628a320c,,helm-chart-versions.yaml,OpenStack Helm chart version,dalmatian v2.121,2024.2,Dalmatian,OK,dalmatian v2.121
keystone,openstack-service,2024.2.386+13651f45-628a320c,,helm-chart-versions.yaml,OpenStack Helm chart version,dalmatian v2.386,2024.2,Dalmatian,OK,dalmatian v2.386
magnum,openstack-service,2024.2.157+13651f45-628a320c,,helm-chart-versions.yaml,OpenStack Helm chart version,dalmatian v2.157,2024.2,Dalmatian,OK,dalmatian v2.157
masakari,openstack-service,2024.2.17+13651f45-628a320c,,helm-chart-versions.yaml,OpenStack Helm chart version,dalmatian v2.17,2024.2,Dalmatian,OK,dalmatian v2.17
neutron,openstack-service,2024.2.529+13651f45-628a320c,,helm-chart-versions.yaml,OpenStack Helm chart version,dalmatian v2.529,2024.2,Dalmatian,OK,dalmatian v2.529
nova,openstack-service,2024.2.555+13651f45-628a320c,,helm-chart-versions.yaml,OpenStack Helm chart version,dalmatian v2.555,2024.2,Dalmatian,OK,dalmatian v2.555
octavia,openstack-service,2025.1.15+b1e463122,,helm-chart-versions.yaml,OpenStack Helm chart version,epoxy v1.15,2025.1,Epoxy,❌ Mismatch,dalmatian v2.208
placement,openstack-service,2024.2.62+13651f45-628a320c,,helm-chart-versions.yaml,OpenStack Helm chart version,dalmatian v2.62,2024.2,Dalmatian,OK,dalmatian v2.62
zaqar,openstack-service,2025.2.0+2d37d445c,,helm-chart-versions.yaml,OpenStack Helm chart version,Unknown,Unknown,Unknown,Unknown,Unknown
