Component,Type,Version in Repo,OpenStack Software Version,Latest Upstream Version,OpenStack Release Name,Compatibility,Recommended Upstream,Source Path,Notes,Comments,OpenStack Version (Numeric)
kube-prometheus-stack (image),container-image,v0.26.0,Unknown,N/A (requires registry access),Unknown,Unknown,Unknown,base-helm-configs/kube-prometheus-stack/kube-prometheus-stack-helm-overrides.yaml,Image tag from Helm values,,Unknown
kube-prometheus-stack (image),container-image,v0.34.0,Unknown,N/A (requires registry access),Unknown,Unknown,Unknown,base-helm-configs/kube-prometheus-stack/kube-prometheus-stack-helm-overrides.yaml,Image tag from Helm values,,Unknown
kube-prometheus-stack (image),container-image,v2.49.1,Unknown,N/A (requires registry access),Unknown,Unknown,Unknown,base-helm-configs/kube-prometheus-stack/kube-prometheus-stack-helm-overrides.yaml,Image tag from Helm values,,Unknown
kube-prometheus-stack (image),container-image,v0.34.0,Unknown,N/A (requires registry access),Unknown,Unknown,Unknown,base-helm-configs/kube-prometheus-stack/kube-prometheus-stack-helm-overrides.yaml,Image tag from Helm values,,Unknown
memcached (image),container-image,1.6.39-debian-12-r1,Unknown,N/A (requires registry access),Unknown,Unknown,Unknown,base-helm-configs/memcached/memcached-helm-overrides.yaml,Image tag from Helm values,,Unknown
memcached (image),container-image,12-debian-12-r34,Unknown,N/A (requires registry access),Unknown,Unknown,Unknown,base-helm-configs/memcached/memcached-helm-overrides.yaml,Image tag from Helm values,,Unknown
memcached (image),container-image,0.15.0-debian-12-r3,Unknown,N/A (requires registry access),Unknown,Unknown,Unknown,base-helm-configs/memcached/memcached-helm-overrides.yaml,Image tag from Helm values,,Unknown
kube-ovn (image),container-image,v1.14.10,Unknown,N/A (requires registry access),Unknown,Unknown,Unknown,base-helm-configs/kube-ovn/kube-ovn-helm-overrides.yaml,Image tag from Helm values,,Unknown
redis-sentinel (image),container-image,v8.2.2,Unknown,N/A (requires registry access),Unknown,Unknown,Unknown,base-helm-configs/redis-sentinel/redis-sentinel-helm-overrides.yaml,Image tag from Helm values,,Unknown
redis-sentinel (image),container-image,v1.44.0,Unknown,N/A (requires registry access),Unknown,Unknown,Unknown,base-helm-configs/redis-sentinel/redis-sentinel-helm-overrides.yaml,Image tag from Helm values,,Unknown
grafana (image),container-image,10.3.3,Unknown,N/A (requires registry access),Unknown,Unknown,Unknown,base-helm-configs/grafana/grafana-helm-overrides.yaml,Image tag from Helm values,,Unknown
postgres-operator (image),container-image,v1.12.2,Unknown,N/A (requires registry access),Unknown,Unknown,Unknown,base-helm-configs/postgres-operator/postgres-operator-helm-overrides.yaml,Image tag from Helm values,,Unknown
